SCENE NAME,LINE TITLE - ENGLISH,LINE TEXT - ENGLISH
testScene,,"bg_set,sBackgroundGray"
testScene,Empty,.
testScene,,map
,,
intro,,"bg_set,sBackgroundShayHome"
intro,,"music,bgmSpookTheme"
intro,,"delay,2"
intro,Spook,"This week, we moved into a new house with my family."
intro,Spook,Everyone has been so busy unpacking...
intro,Spook,Me?
intro,,"trans_scene,introCage,sBackgroundCageNightSpook"
,,
introCage,,"delay,1"
introCage,,"main_char_in,0"
introCage,Spook,Nothing much changed for me. 
introCage,Spook,"I get a nice view from my new spot, at least..."
introCage,Spook,I am Spook.
introCage,,"trans_scene,introShay,sBackgroundBlack"
,,
introShay,,"char_in,Shay,sShay,0"
introShay,,"main_char_in,0"
introShay,,"delay,1"
introShay,Spook,And this is Shay! My human and my best friend! 
introShay,Spook,She seems to be nervous about the new school and everything.
introShay,,"trans_scene,introShaysHand,sBackgroundSpookInShaysHand"
,,
introShaysHand,Spook,But I am here to make her feel better!
introShaysHand,Spook,"Me and my human don't have many other friends- and, well, we don't need 'em!"
introShaysHand,,"trans_scene,introCalendar,sBackgroundGray"
,,
introCalendar,Spook,"More importantly, Halloween is around the corner!"
introCalendar,Spook,The BEST time of the year!
introCalendar,Spook,I can't wait to spend a calm afternoon watching horror movies with Shay!
introCalendar,,"trans_scene,introShayRoomDay,sBackgroundShayRoomDay"
,,
introShayRoomDay,Empty,"October 30th, Afternoon"
introShayRoomDay,Empty,You wake up to the sound of arguing...
introShayRoomDay,,"main_char_in,6"
introShayRoomDay,Spook,...?
introShayRoomDay,Mom,You should go out more often!
introShayRoomDay,Mom,There are so many kids your age in this neighborhood!
introShayRoomDay,Mom,Mrs. Dudley said her daughter would love to go trick-or-treating with you!
introShayRoomDay,Shay,Moooom! She isn't my age!
introShayRoomDay,Shay,She's ten! I'm thirteen!
introShayRoomDay,Mom,"Well, her older brother is going to be there."
introShayRoomDay,Mom,You two go to the same school.
introShayRoomDay,Mom,It could be an opportunity to get to know one another.
introShayRoomDay,Shay,But mom- Spook and I already have plans!
introShayRoomDay,Shay,"We're going to see ""Zombie Rats Take Over the World Again""!"
introShayRoomDay,Mom,"Well, I'm sure you can watch your movie after you go trick-or-treating!"
introShayRoomDay,Mom,"Come on, Shay. It's going to be fun!"
introShayRoomDay,Shay,...And can I stay up late to watch the movie...?
introShayRoomDay,Mom,...Sigh. Yes. Yes you may.
introShayRoomDay,Shay,"Okaaay. Love you, mom"
introShayRoomDay,Mom,"Love you too, pumpkin!"
introShayRoomDay,,"char_in,Shay,sShay,2"
introShayRoomDay,,"char_update,Spook,0"
introShayRoomDay,Shay,"[play_sound,sfxDoorClose]Uuuugh!"
introShayRoomDay,Shay,This is horrible!
introShayRoomDay,Shay,How am I gonna spend an entire night with people I don't even know?!
introShayRoomDay,Shay,This is gonna be a disaster!
introShayRoomDay,Shay,A bigger disaster than third grade picture day!
introShayRoomDay,Empty,Shay sounds upset...
introShayRoomDay,,"choice,intro0,intro1"
introShayRoomDay,,"char_update,Shay,0"
introShayRoomDay,Shay,"You're right, Spook!"
introShayRoomDay,Shay,It's Halloween! It's going to be awesome whether they like me or not!
introShayRoomDay,Shay,And we'll have some candy for our movie too! Isn't that awesome?!
introShayRoomDay,Spook,Squeak!
introShayRoomDay,Shay,"Well said, boy!"
introShayRoomDay,,"music,noone"
introShayRoomDay,,"trans_scene,introShayRoomNight,sBackgroundShayRoomNight"
,,
introShayRoomNight,Empty,"October 30th, Night"
introShayRoomNight,,"music,bgmSuspense"
introShayRoomNight,,"main_char_in,6"
introShayRoomNight,Spook,Squeak?
introShayRoomNight,???,"Pssst, kid"
introShayRoomNight,,"char_update,Spook,1"
introShayRoomNight,Spook,Who's there?! Show yourself!
introShayRoomNight,???,Down here...
introShayRoomNight,,"char_in,Unknown,sScrewdriver,4"
introShayRoomNight,???,Sup?
introShayRoomNight,,"char_update,Spook,2"
introShayRoomNight,Spook,Gaaah! Intruder!
introShayRoomNight,Spook,What are you doing in my house?!
introShayRoomNight,???,Your house?
introShayRoomNight,???,"I thought you only owned that little box you're in, hehe"
introShayRoomNight,Spook,No! The whole house! It's my human's house and mine!
introShayRoomNight,???,That so?
introShayRoomNight,,"char_update,Unknown,6"
introShayRoomNight,???,"You see, this whole street is mine."
introShayRoomNight,???,I watched 'em build your little house from dirt and concrete.
introShayRoomNight,???,And when you lot pack up and move on?
introShayRoomNight,???,"I'll still be here, heh"
introShayRoomNight,,"char_update,Spook,1"
introShayRoomNight,Spook,I am not going to leave!
introShayRoomNight,Spook,And I'm not a kid! I'm one and a half years old!
introShayRoomNight,,"char_update,Unknown,5"
introShayRoomNight,???,Ooooo! The little guy is actually so big!
introShayRoomNight,,"char_update,Unknown,4"
introShayRoomNight,???,But you are a kid. You know so little of the world.
introShayRoomNight,???,"And you rely on another to take care of you, no?"
introShayRoomNight,???,Adults have their own lives. Adults feed themselves. Adults-
introShayRoomNight,,"char_update,Spook,2"
introShayRoomNight,Spook,"I get it, I get it!"
introShayRoomNight,,"char_update,Spook,1"
introShayRoomNight,???,...Tell you what?
introShayRoomNight,???,Why don't I open that metallic little box for you and show you how a pest lives?
introShayRoomNight,Spook,No! Shay would be worried sick!
introShayRoomNight,???,"Heh heh, worry not, friend. Some of us have humans, too."
introShayRoomNight,???,"We party all night, then crawl back into the cages."
introShayRoomNight,,"char_update,Unknown,6"
introShayRoomNight,???,"Not me, of course! I'm a free spirit."
introShayRoomNight,,"char_update,Spook,6"
introShayRoomNight,Spook,You all party at night...?
introShayRoomNight,???,Well yeah! It's Halloween tomorrow!
introShayRoomNight,???,"The veil thins, the night is alive, and the critters celebrate! Heh heh heh"
introShayRoomNight,,"char_update,Spook,5"
introShayRoomNight,Spook,There's a HALLOWEEN PARTY?!
introShayRoomNight,???,"Ooooh, that got your attention? Indeed we do, friend. Indeed we do."
introShayRoomNight,???,Come with me.
introShayRoomNight,,"char_update,Spook,0"
introShayRoomNight,Spook,But if Shay wakes up...
introShayRoomNight,???,"Then she will find you in the morning! Live a little, friend! C'mon!"
introShayRoomNight,Spook,"...Yeah, okay"
introShayRoomNight,,"trans_scene,introCageOpen,sBackgroundBlack"
,,
introCageOpen,,"trans_clear,sBackgroundBlack"
introCageOpen,???,"[play_sound,sfxCageOpen]Yeaaah! Now we're talkin'."
introCageOpen,,"trans_scene,introScrewdriver,sBackgroundCageNight"
,,
introScrewdriver,,"music,bgmStrayRatStrut"
introScrewdriver,,"main_char_in,0"
introScrewdriver,,"delay,2"
introScrewdriver,,"char_in,Screwdriver,sScrewdriver,2"
introScrewdriver,Screwdriver,I'm Screw. Screwdriver.
introScrewdriver,Spook,Uh... I'm Spook.
introScrewdriver,,"char_update,Screwdriver,1"
introScrewdriver,Screwdriver,Wow! So are you spooky then?
introScrewdriver,Spook,Ugh... dunno. Are you a screwdriver?
introScrewdriver,,"char_update,Screwdriver,0"
introScrewdriver,Screwdriver,"Fair point, fair point."
introScrewdriver,Spook,...Let's just go before we wake up Shay!
introScrewdriver,,"music,noone"
introScrewdriver,,"trans_scene,introBar,sBackgroundSewerBar"
,,
introBar,,"music,bgmBarPunk"
introBar,,"main_char_in,0"
introBar,,"char_in,Screwdriver,sScrewdriver,2"
introBar,Screwdriver,Welcome to our little club!
introBar,Screwdriver,"Folks, I got fresh blood!"
introBar,,"char_in,Pogo,sPogo,2"
introBar,Pogo,Yummy.
introBar,,"char_update,Spook,8"
introBar,Spook,Eeeeeeek!!!!!!!!!
introBar,,"char_update,Pogo,0"
introBar,Pogo,"He-he, fear not little one! I don't bite!"
introBar,Pogo,...Almost never!
introBar,,"char_in,Barry,sBarry,1"
introBar,Barry,"Don't mess with the kid, Pogo!"
introBar,Barry,"Don't worry, she's harmless as a fly!"
introBar,Barry,"I am Barry, the bartender. Pleasure."
introBar,,"char_update,Spook,0"
introBar,,"char_out,Pogo"
introBar,,"char_in,Möth,sMoth,0"
introBar,Möth,My sweet... My sweet... How I miss my sweet...
introBar,,"char_update,Barry,1"
introBar,Barry,"Finish your drink, man... Your ""sweet"" is not going anywhere. Literally."
introBar,,"char_update,Screwdriver,1"
introBar,Screwdriver,Unlike Barry's! BWAHAHAHAHAHA!!!
introBar,Barry,...
introBar,,"char_out,Barry"
introBar,,"char_in,Pogo,sPogo,0"
introBar,Pogo,Oh c'mon Drivey...
introBar,Pogo,You're the one who hasn't gone on a single date!
introBar,Pogo,Not even once!
introBar,Screwdriver,"Love is a trap, and attachment is a fancy word for a leash!"
introBar,Möth,My sweet is not a leash... My sweet is so bright...
introBar,,"char_update,Screwdriver,0"
introBar,Screwdriver,Yeah yeah...
introBar,,"char_out,Möth"
introBar,Screwdriver,"Hey Spook, before I forget, take this."
introBar,Screwdriver,It's a map. Use it if you ever get lost around here!
introBar,Spook,"Oh, thanks Screwdriver!"
introBar,Pogo,That looks a bit...
introBar,Screwdriver,Hm?
introBar,Pogo,...Nothin'!
introBar,,"char_update,Screwdriver,2"
introBar,Screwdriver,"Well, that's it from me guys. The night is young!"
introBar,Screwdriver,"See ya later, kid!"
introBar,,"char_out,Screwdriver"
introBar,,"char_update,Pogo,1"
introBar,Pogo,Yup. Gonna go stretch my wings tonight. Byeee~
introBar,,"char_out,Pogo"
introBar,,"char_in,Möth,sMoth,0"
introBar,Möth,Must return to my lover...
introBar,,"char_out,Möth"
introBar,,"char_in,Barry,sBarry,0"
introBar,Barry,...
introBar,,"char_update,Barry,1"
introBar,Barry,"Go on, friend. I'll be here if you need anything."
introBar,Spook,Alright... Let's see where this goes.
introBar,,"music,noone"
introBar,,map
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
lampPostDayOneVisitOne,,"trans_clear,sBackgroundLampPostNight"
lampPostDayOneVisitOne,,"music,bgmLompTheme"
lampPostDayOneVisitOne,,"main_char_in,0"
lampPostDayOneVisitOne,Empty,A bright light flickers rapidly. The moth from the bar is glaring into it with loving eyes.
lampPostDayOneVisitOne,,"char_in,Möth,sMoth,0"
lampPostDayOneVisitOne,Möth,My sweet... My love...
lampPostDayOneVisitOne,Spook,Um... Hello?
lampPostDayOneVisitOne,Möth,You see my lover? She is excited to see me.
lampPostDayOneVisitOne,,"choice,lampPost0,lampPost1"
,,
,,
,,
,,
,,
,,
