Key,Text
menuStart,Start
menuCredits,Credits
menuSettings,Settings
menuResume,Resume
menuToMain,Main Menu
menuBack,Back
menuFullscreen,Fullscreen
menuVolSound,Sound
menuVolMusic,Music
menuVolTypeWriter,Dialogue Sound Effects
menuLanguage,Language
menuLanguageEng,English
menuLanguageTur,Turkish
menuLanguageKaz,Kazakh
menuOn,On
menuOff,Off
,
,
,
,
squeakReassuringly,Squeak (Reassuringly)
squeakHungrily,Squeak (Hungrily)
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
choice_comfort,"Aw, it'll be okay"
choice_ignore,(Say nothing)
